"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47","test","chrome","Fri Feb 21 13:10:44 IST 2025","failed","Fri Feb 21 13:10:44 IST 2025","","Google_home_Page.spec.js","",""
"","61","login to app","chrome","Fri Feb 21 13:10:57 IST 2025","failed","Fri Feb 21 13:10:57 IST 2025","","WebOrder_AI.spec.js","",""
"","2","Positive Scenario for login + logout","chrome","Mon Oct 21 18:03:14 IST 2024","skipped","Mon Oct 21 18:03:14 IST 2024","Login / Logout Flow","Skip_Test_Using_Serial_Example.spec.js","",""
"","2104","WebOrder Login Functionality: TC3","chrome","Thu May 08 13:26:21 IST 2025","passed","Thu May 08 13:26:23 IST 2025","","ReadData_From_JSON_WebOrder_Login_All_TCs.spec.js","",""
"","9064","Date Picker in playwright","chrome","Tue Nov 26 09:20:14 IST 2024","passed","Tue Nov 26 09:20:23 IST 2024","","Date_Calendar_Example.spec.js","",""
"","5043","WebOrder App","chrome","Thu May 08 13:27:04 IST 2025","passed","Thu May 08 13:27:09 IST 2025","WebOrder All Test Scenario","Read_DataFrom_CSV_WebordersAPP_AllScenario.spec.js","",""
"","6710","Login and Then Create Order and Verify Order","chrome","Tue May 06 12:48:22 IST 2025","passed","Tue May 06 12:48:28 IST 2025","","WebOrder_CreateOrder_VerifyOrder.spec.js","",""
"","2287","@regression WebOrder Login: TC3","chrome","Tue Apr 22 16:20:42 IST 2025","passed","Tue Apr 22 16:20:44 IST 2025","","ReadData_From_JSON_WebOrder_Login_All_TCs.spec.js","",""
"","2257","Transfer Funds TC9","chrome","Fri Nov 29 11:04:14 IST 2024","passed","Fri Nov 29 11:04:16 IST 2024","Transfer Funds and Make Payment","TransferFunds.spec.js","",""
"","947","POST Request - Access Token","chrome","Fri Feb 21 14:41:53 IST 2025","passed","Fri Feb 21 14:41:54 IST 2025","Access Token","Authenticate_Access_Token.spec.js","",""
"","6123","@regression OrangeHRM: TC3","chrome","Mon Mar 10 17:32:31 IST 2025","passed","Mon Mar 10 17:32:38 IST 2025","Admin -OrangeHRM","OrangHRM_AddUser_All_TCs.spec.js","",""
"","0","Weborder Login Functionality @sanity","chrome","Thu Nov 28 10:55:50 IST 2024","skipped","Thu Nov 28 10:55:50 IST 2024","","NopCom_Login.spec.js","",""
"","5430","WebOrder App","chrome","Fri May 09 10:55:15 IST 2025","passed","Fri May 09 10:55:21 IST 2025","WebOrder All Test Scenario calling BaseClass","Read_DataFrom_Excel_Calling_BaseClass.spec.js","",""
"","85","WebOrder Login - Invalid Password","chrome","Fri Feb 21 13:11:06 IST 2025","failed","Fri Feb 21 13:11:07 IST 2025","","WebOrder_Login_TCs.spec.js","",""
"","2646","Transfer Funds TC29","chrome","Fri Nov 29 11:05:04 IST 2024","passed","Fri Nov 29 11:05:07 IST 2024","Transfer Funds and Make Payment","TransferFunds.spec.js","",""
"","0","WebOrder Login","chrome","Thu Feb 20 10:42:19 IST 2025","skipped","Thu Feb 20 10:42:19 IST 2025","","WebOrder_Login.spec.js","",""
"","3855","WebOrder App","chrome","Fri May 09 10:48:15 IST 2025","failed","Fri May 09 10:48:19 IST 2025","WebOrder All Test Scenario","Read_DataFrom_Excel_Calling_BaseClass.spec.js","",""
"","2685","Transfer Funds TC26","chrome","Fri Nov 29 11:04:56 IST 2024","passed","Fri Nov 29 11:04:59 IST 2024","Transfer Funds and Make Payment","TransferFunds.spec.js","",""
"","10043","Full Page Snapshot","chrome","Mon May 12 13:22:43 IST 2025","passed","Mon May 12 13:22:53 IST 2025","Visual Regression Testing Example","visual.spec.js","",""
"","9738","Should Logout from application","chrome","Wed Mar 12 10:32:00 IST 2025","passed","Wed Mar 12 10:32:10 IST 2025","","OrangeHRMLogin_Calling_Global_Setup.spec.js","",""
"","3748","Yatra Login Page","chrome","Tue Feb 18 16:41:50 IST 2025","passed","Tue Feb 18 16:41:54 IST 2025","","Basic_Auth_Example.spec.js","",""
"","1","Login to Weborders @smoke","chrome","Tue Apr 22 16:06:20 IST 2025","skipped","Tue Apr 22 16:06:20 IST 2025","Hooks","Hooks_At_SuiteLevel_WebOrder.spec.js","",""
"","1070","Validate Create Note API response schema","chrome","Sat Jun 14 09:42:50 IST 2025","passed","Sat Jun 14 09:42:51 IST 2025","Create Notes API Testing","note-api_negative_schema.spec.js","",""
"","21383","test","chrome","Tue Nov 05 21:47:55 IST 2024","failed","Tue Nov 05 21:48:16 IST 2024","","WebOrder_Webtable_Verify_text.spec.js","",""
"","13718","Search for a name and verify salary","chrome","Thu May 08 16:36:53 IST 2025","failed","Thu May 08 16:37:06 IST 2025","WebTable Pagination and Salary Check","WebTable_Pagination_Example.spec.js","",""
"","7681","@regression OrangeHRM: TC2","chrome","Mon Mar 10 17:32:24 IST 2025","passed","Mon Mar 10 17:32:31 IST 2025","Admin -OrangeHRM","OrangHRM_AddUser_All_TCs.spec.js","",""
"","3772","Basic Auth Page Handling","chrome","Tue Feb 18 16:48:36 IST 2025","passed","Tue Feb 18 16:48:40 IST 2025","","Basic_Auth_Example.spec.js","",""
"","55","Weborder Login Functionality","chrome","Fri Feb 21 13:10:46 IST 2025","failed","Fri Feb 21 13:10:46 IST 2025","","NopCom_Login.spec.js","",""
"","5310","WebOrder App","chrome","Fri May 09 10:46:15 IST 2025","passed","Fri May 09 10:46:21 IST 2025","WebOrder All Test Scenario","Read_DataFrom_Excel_WebordersAPP_AllScenario.spec.js","",""
"","5254","Go to View all products Page","chrome","Wed May 07 09:46:34 IST 2025","passed","Wed May 07 09:46:39 IST 2025","Hooks Example in Playwright","Skip_Tests_Scenario.spec.js","",""
"","2532","Transfer Funds TC32","chrome","Fri Nov 29 11:05:12 IST 2024","passed","Fri Nov 29 11:05:14 IST 2024","Transfer Funds and Make Payment","TransferFunds.spec.js","",""
"","2430","Transfer Funds TC5","chrome","Fri Nov 29 11:04:04 IST 2024","passed","Fri Nov 29 11:04:07 IST 2024","Transfer Funds and Make Payment","TransferFunds.spec.js","",""
"","6256","@regression OrangeHRM: TC3","chrome","Tue Nov 26 16:24:05 IST 2024","passed","Tue Nov 26 16:24:11 IST 2024","OrangeHRM","OrangHRM_AddUser_All_TCs.spec.js","",""
"","876","Get Default Country","chrome","Fri Feb 21 14:27:56 IST 2025","passed","Fri Feb 21 14:27:57 IST 2025","API Testing","GET_Get_Default_Country.spec.js","",""
"","9788","OrangeHRM Login Functional","chrome","Tue Feb 18 16:55:13 IST 2025","passed","Tue Feb 18 16:55:23 IST 2025","","Accept_Cookies_Example.spec.js","",""
"","48","WebOrder Login @smoke","chrome","Fri Feb 21 13:11:09 IST 2025","failed","Fri Feb 21 13:11:09 IST 2025","","WebOrder_Login.spec.js","",""
"","2341","Transfer Funds TC13","chrome","Fri Nov 29 11:04:23 IST 2024","passed","Fri Nov 29 11:04:26 IST 2024","Transfer Funds and Make Payment","TransferFunds.spec.js","",""
"","6520","Create Order - Verify Order","chrome","Tue May 06 12:32:01 IST 2025","passed","Tue May 06 12:32:08 IST 2025","","WebOrder_CreateOrder_VerifyOrder.spec.js","",""
